Id,Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,City,Male,Country,Clicked on Ad
403,87.23,29,51015.11,202.12,Lake Kevin,0,American Samoa,0
404,57.24,52,46473.14,117.35,Richardsonland,1,Latvia,1
405,81.58,41,55479.62,248.16,East Sheriville,0,Moldova,0
406,56.34,50,68713.7,139.02,Port Michealburgh,1,Anguilla,1
407,48.73,27,34191.23,142.04,Monicaview,0,Bangladesh,1
408,51.68,49,51067.54,258.62,Katieport,0,Faroe Islands,1
409,35.34,45,46693.76,152.86,East Brittanyville,0,Taiwan,1
410,48.09,33,19345.36,180.42,West Travismouth,0,Heard Island and McDonald Islands,1
411,78.68,29,66225.72,208.05,Leonchester,0,Israel,0
412,68.82,20,38609.2,205.64,Ramirezland,1,Bolivia,0
413,56.99,40,37713.23,108.15,Brownton,0,Bahamas,1
414,86.63,39,63764.28,209.64,New Jessicaport,1,Costa Rica,0
415,41.18,43,41866.55,129.25,New Denisebury,1,Myanmar,1
416,71.03,32,57846.68,120.85,Keithtown,0,Netherlands Antilles,1
417,72.92,29,69428.73,217.1,Port Melissastad,1,Czech Republic,0
418,77.14,24,60283.98,184.88,Janiceview,1,Iceland,0
419,60.7,43,79332.33,192.6,Mataberg,1,Palau,0
420,34.3,41,53167.68,160.74,West Melaniefurt,1,Libyan Arab Jamahiriya,1
421,83.71,45,64564.07,220.48,Millerfort,1,Kazakhstan,0
422,53.38,35,60803.37,120.06,Alexanderview,1,French Guiana,1
423,58.03,31,28387.42,129.33,South Jade,0,Tuvalu,1
424,43.59,36,58849.77,132.31,Lake Susan,1,Congo,1
425,60.07,42,65963.37,120.75,South Vincentchester,1,United Kingdom,1
426,54.43,37,75180.2,154.74,Williamsmouth,1,Luxembourg,1
427,81.99,33,61270.14,230.9,Taylorport,0,French Polynesia,0
428,60.53,29,56759.48,123.28,Williamsport,0,Papua New Guinea,1
429,84.69,31,46160.63,231.85,Emilyfurt,1,Maldives,0
430,88.72,32,43870.51,211.87,East John,1,Zambia,0
431,88.89,35,50439.49,218.8,East Deborahhaven,1,Cook Islands,0
432,69.58,43,28028.74,255.07,Port Katelynview,0,Congo,1
433,85.23,36,64238.71,212.92,Paulhaven,1,Senegal,0
434,83.55,39,65816.38,221.18,Elizabethmouth,1,Myanmar,0
435,56.66,42,72684.44,139.42,Lake Jesus,0,Dominican Republic,1
436,56.39,27,38817.4,248.12,North Tylerland,1,Bahrain,0
437,76.24,27,63976.44,214.42,Munozberg,0,Puerto Rico,0
438,57.64,36,37212.54,110.25,North Maryland,1,Chile,1
439,78.18,23,52691.79,167.67,West Barbara,0,Bolivia,0
440,46.04,32,65499.93,147.92,Andrewborough,0,Serbia,1
441,79.4,35,63966.72,236.87,New Gabriel,0,Malaysia,0
442,36.44,39,52400.88,147.64,Port Patrickton,1,Estonia,1
443,53.14,38,49111.47,109,West Julia,1,Greenland,1
444,32.84,40,41232.89,171.72,New Keithburgh,0,Trinidad and Tobago,1
445,73.72,32,52140.04,256.4,Richardsland,1,Thailand,0
446,38.1,34,60641.09,214.38,North Aaronchester,1,Philippines,1
447,73.93,44,74180.05,218.22,Lake Matthewland,0,Niue,0
448,51.87,50,51869.87,119.65,Kevinberg,0,Afghanistan,1
449,77.69,22,48852.58,169.88,Morganfort,1,Angola,0
450,43.41,28,59144.02,160.73,Lovemouth,0,Egypt,1
451,55.92,24,33951.63,145.08,Taylorhaven,0,Fiji,1
452,80.67,34,58909.36,239.76,Jamesville,0,Portugal,0
453,83.42,25,49850.52,183.42,East Toddfort,1,Austria,0
454,82.12,52,28679.93,201.15,East Dana,1,Germany,1
455,66.17,33,69869.66,238.45,West Lucas,0,Panama,0
456,43.01,35,48347.64,127.37,Butlerfort,0,United States of America,1
457,80.05,25,45959.86,219.94,Lindaside,1,Christmas Island,0
458,64.88,42,70005.51,129.8,West Chloeborough,1,Equatorial Guinea,1
459,79.82,26,51512.66,223.28,Jayville,1,Micronesia,0
460,48.03,40,25598.75,134.6,East Lindsey,1,Malta,1
461,32.99,45,49282.87,177.46,Masseyshire,0,Ecuador,1
462,74.88,27,67240.25,175.17,Sarahton,1,Sudan,0
463,36.49,52,42136.33,196.61,Ryanhaven,1,Lao People's Democratic Republic,1
464,88.04,45,62589.84,191.17,Lake Deborahburgh,1,Saint Vincent and the Grenadines,0
465,45.7,33,67384.31,151.12,New Williammouth,1,Switzerland,1
466,82.38,35,25603.93,159.6,Port Blake,0,Spain,1
467,52.68,23,39616,149.2,West Richard,1,Turks and Caicos Islands,1
468,65.59,47,28265.81,121.81,Brandymouth,0,Indonesia,1
469,65.65,25,63879.72,224.92,Sandraville,1,Cook Islands,0
470,43.84,36,70592.81,167.42,Port Jessica,0,Australia,1
471,67.69,37,76408.19,216.57,Lake Jasonchester,0,Finland,0
472,78.37,24,55015.08,207.27,Pearsonfort,0,Pakistan,0
473,81.46,29,51636.12,231.54,Sellerstown,0,Ireland,0
474,47.48,31,29359.2,141.34,Yuton,0,Eritrea,1
475,75.15,33,71296.67,219.49,Smithtown,1,France,0
476,78.76,24,46422.76,219.98,Joanntown,1,Austria,0
477,44.96,50,52802,132.71,South Peter,1,Heard Island and McDonald Islands,1
478,39.56,41,59243.46,143.13,Port Mitchell,1,Western Sahara,1
479,39.76,28,35350.55,196.83,Pottermouth,1,Liberia,1
480,57.11,22,59677.64,207.17,Lake Jonathanview,1,Dominican Republic,0
481,83.26,40,70225.6,187.76,Alanview,1,Tonga,0
482,69.42,25,65791.17,213.38,Carterport,0,Lao People's Democratic Republic,0
483,50.6,30,34191.13,129.88,New Daniellefort,1,United States of America,1
484,46.2,37,51315.38,119.3,Welchshire,0,Belgium,1
485,66.88,35,62790.96,119.47,Russellville,1,Indonesia,1
486,83.97,40,66291.67,158.42,West Lisa,1,Croatia,0
487,76.56,30,68030.18,213.75,Greentown,0,Brunei Darussalam,0
488,35.49,48,43974.49,159.77,Timothyport,0,American Samoa,1
489,80.29,31,49457.48,244.87,Teresahaven,1,Netherlands Antilles,0
490,50.19,40,33987.27,117.3,Lake Stephenborough,0,Thailand,1
491,59.12,33,28210.03,124.54,Silvaton,0,Greece,1
492,59.88,30,75535.14,193.63,West Michaelstad,1,French Polynesia,0
493,59.7,28,49158.5,120.25,Florestown,0,Guernsey,1
494,67.8,30,39809.69,117.75,New Jay,1,Isle of Man,1
495,81.59,35,65826.53,223.16,North Lisachester,0,Holy See (Vatican City State),0
496,81.1,29,61172.07,216.49,Port Stacy,1,El Salvador,0
497,41.7,39,42898.21,126.95,Jensenton,0,China,1
498,73.94,27,68333.01,173.49,North Alexandra,0,Myanmar,0
499,58.35,37,70232.95,132.63,Rivasland,0,Macao,1
500,51.56,46,63102.19,124.85,Helenborough,0,Australia,1
501,79.81,37,51847.26,253.17,Garnerberg,0,United States Virgin Islands,0
502,66.17,26,63580.22,228.7,North Anaport,0,Mexico,0
503,58.21,37,47575.44,105.94,Pattymouth,0,Djibouti,1
504,66.12,49,39031.89,113.8,South Alexisborough,0,Cote d'Ivoire,1
505,80.47,42,70505.06,215.18,East Jennifer,1,Mali,0
506,77.05,31,62161.26,236.64,Hallfort,0,Jamaica,0
507,49.99,41,61068.26,121.07,New Charleschester,0,Romania,1
508,80.3,58,49090.51,173.43,East Breannafurt,0,Cayman Islands,1
509,79.36,33,62330.75,234.72,East Susanland,1,Gambia,0
510,57.86,30,18819.34,166.86,Estesfurt,0,Algeria,1
511,70.29,26,62053.37,231.37,Shirleyfort,1,Puerto Rico,0
512,84.53,33,61922.06,215.18,Douglasview,1,Norfolk Island,0
513,59.13,44,49525.37,106.04,South Lisa,1,Turkey,1
514,81.51,41,53412.32,250.03,Kingshire,0,Guinea,0
515,42.94,37,56681.65,130.4,Rebeccamouth,1,Moldova,1
516,84.81,32,43299.63,233.93,Brownbury,1,Greece,0
517,82.79,34,47997.75,132.08,South Aaron,0,American Samoa,1
518,59.22,55,39131.53,126.39,North Andrew,1,Honduras,1
519,35,40,46033.73,151.25,South Walter,1,Mongolia,1
520,46.61,42,65856.74,136.18,Catherinefort,0,Ethiopia,1
521,63.26,29,54787.37,120.46,East Donna,1,Ethiopia,1
522,79.16,32,69562.46,202.9,East Timothy,1,Sri Lanka,0
523,67.94,43,68447.17,128.16,North Kimberly,0,Morocco,1
524,79.91,32,62772.42,230.18,South Stephanieport,1,United Arab Emirates,0
525,66.14,41,78092.95,165.27,North Isabellaville,0,Western Sahara,0
526,43.65,39,63649.04,138.87,North Aaronburgh,0,Western Sahara,1
527,59.61,21,60637.62,198.45,Port James,1,Cambodia,0
528,46.61,52,27241.11,156.99,Danielview,0,New Zealand,1
529,89.37,34,42760.22,162.03,Port Stacey,1,Australia,0
530,65.1,49,59457.52,118.1,West Kevinfurt,1,Bulgaria,1
531,53.44,42,42907.89,108.17,Lake Jennifer,1,Libyan Arab Jamahiriya,1
532,79.53,51,46132.18,244.91,Reyesfurt,0,Barbados,0
533,91.43,39,46964.11,209.91,West Carmenfurt,1,French Polynesia,0
534,73.57,30,70377.23,212.38,North Stephanieberg,0,Uruguay,0
535,78.76,32,70012.83,208.02,East Valerie,1,Uruguay,0
536,76.49,23,56457.01,181.11,Sherrishire,0,Brazil,0
537,61.72,26,67279.06,218.49,Port Daniel,0,Venezuela,0
538,84.53,35,54773.99,236.29,Brownview,0,Myanmar,0
539,72.03,34,70783.94,230.95,Greerton,1,Malta,0
540,77.47,36,70510.59,222.91,Hatfieldshire,1,Jamaica,0
541,75.65,39,64021.55,247.9,Brianabury,1,Bahrain,0
542,78.15,33,72042.85,194.37,New Maria,0,Algeria,0
543,63.8,38,36037.33,108.7,Colebury,1,Tuvalu,1
544,76.59,29,67526.92,211.64,Calebberg,0,Georgia,0
545,42.6,55,55121.65,168.29,Lake Ian,0,Cambodia,1
546,78.77,28,63497.62,211.83,Gomezport,0,Guam,0
547,83.4,39,60879.48,235.01,Shaneland,0,Tanzania,0
548,79.53,33,61467.33,236.72,East Aaron,0,Indonesia,0
549,73.89,35,70495.64,229.99,Dustinborough,1,Somalia,0
550,75.8,36,71222.4,224.9,East Michaelland,0,Belize,0
551,81.95,31,64698.58,208.76,East Connie,1,Serbia,0
552,56.39,58,32252.38,154.23,West Shannon,0,Australia,1
553,44.73,35,55316.97,127.56,North Lauraland,1,Guam,1
554,38.35,33,47447.89,145.48,Port Christopher,1,Christmas Island,1
555,72.53,37,73474.82,223.93,South Patrickfort,0,Papua New Guinea,0
556,56.2,49,53549.94,114.85,East Georgeside,1,Bahamas,1
557,79.67,28,58576.12,226.79,Charlesbury,0,Comoros,0
558,75.42,26,63373.7,164.25,Millertown,1,Western Sahara,0
559,78.64,31,60283.47,235.28,South Renee,1,Nicaragua,0
560,67.69,44,37345.34,109.22,South Jackieberg,0,Guam,1
561,38.35,41,34886.01,144.69,Loriville,1,Vanuatu,1
562,59.52,44,67511.86,251.08,Amandaland,1,Bolivia,0
563,62.26,37,77988.71,166.19,West Robertside,0,Malawi,0
564,64.75,36,63001.03,117.66,North Sarashire,0,Venezuela,1
565,79.97,26,61747.98,185.45,Port Maria,1,Nepal,0
566,47.9,42,48467.68,114.53,East Jessefort,0,United Kingdom,1
567,80.38,30,55130.96,238.06,Port Anthony,0,Albania,0
568,64.51,42,79484.8,190.71,Edwardmouth,1,Madagascar,0
569,71.28,37,67307.43,246.72,Dustinchester,1,Guyana,0
570,50.32,40,27964.6,125.65,Rochabury,0,Yemen,1
571,72.76,33,66431.87,240.63,Williamsport,1,India,0
572,72.8,35,63551.67,249.54,Austinland,0,Puerto Rico,0
573,74.59,23,40135.06,158.35,Lake Gerald,1,United States Virgin Islands,1
574,46.66,45,49101.67,118.16,Wrightview,0,Antigua and Barbuda,1
575,48.86,54,53188.69,134.46,Perryburgh,0,French Guiana,1
576,37.05,39,49742.83,142.81,Tracyhaven,1,Antigua and Barbuda,1
577,81.21,36,63394.41,233.04,South Jaimeview,0,Turkmenistan,0
578,66.89,23,64433.99,208.24,Sandersland,1,Honduras,0
579,68.11,38,73884.48,231.21,South Meredithmouth,0,Seychelles,0
580,69.15,46,36424.94,112.72,Richardsonshire,0,Cyprus,1
581,65.72,36,28275.48,120.12,Kimberlymouth,0,Saint Pierre and Miquelon,1
582,40.04,27,48098.86,161.58,Meghanchester,0,Poland,1
583,68.6,33,68448.94,135.08,Tammyshire,0,Taiwan,1
584,56.16,25,66429.84,164.25,Millerbury,1,Cote d'Ivoire,1
585,78.6,46,41768.13,254.59,Lake Elizabethside,1,Micronesia,0
586,78.29,38,57844.96,252.07,Villanuevaton,0,Liberia,0
587,43.83,45,35684.82,129.01,Greerport,0,Saudi Arabia,1
588,77.31,32,62792.43,238.1,North Garyhaven,0,Nepal,0
589,39.86,28,51171.23,161.24,East Sharon,0,Ghana,1
590,66.77,25,58847.07,141.13,Johnstonmouth,0,Iran,1
591,57.2,42,57739.03,110.66,East Heatherside,0,New Zealand,1
592,73.15,25,64631.22,211.12,Lake Patrick,1,Libyan Arab Jamahiriya,0
593,82.07,24,50337.93,193.97,Richardsonmouth,0,Sri Lanka,0
594,49.84,38,67781.31,135.24,Jenniferhaven,1,United Arab Emirates,1
595,43.97,36,68863.95,156.97,Boyerberg,1,Indonesia,1
596,77.25,27,55901.12,231.38,Port Elijah,1,Saint Vincent and the Grenadines,0
597,74.84,37,64775.1,246.44,Knappburgh,1,Mongolia,0
598,83.53,36,67686.16,204.56,New Dawnland,0,Honduras,0
599,38.63,48,57777.11,222.11,Chapmanmouth,0,Papua New Guinea,1
600,84,48,46868.53,136.21,Robertside,1,Kyrgyz Republic,1
601,52.13,50,40926.93,118.27,West Raymondmouth,1,Ethiopia,1
602,71.83,40,22205.74,135.48,Costaburgh,1,Rwanda,1
603,78.36,24,58920.44,196.77,Kristineberg,1,Kyrgyz Republic,0
604,50.18,35,63006.14,127.82,Sandrashire,1,Grenada,1
605,64.67,51,24316.61,138.35,Andersonfurt,1,Togo,1
606,69.5,26,68348.99,203.84,Tranland,0,Pakistan,0
607,65.22,30,66263.37,240.09,Michaelland,1,Falkland Islands (Malvinas),0
608,62.06,40,63493.6,116.27,East Rachaelfurt,1,Jersey,1
609,84.29,30,56984.09,160.33,Lake Johnbury,1,Cayman Islands,1
610,32.91,37,51691.55,181.02,Elizabethstad,0,South Africa,1
611,39.5,31,49911.25,148.19,West Brad,1,Micronesia,1
612,75.19,31,33502.57,245.76,Johnstonshire,1,Tajikistan,0
613,76.21,31,65834.97,228.94,Lake Timothy,1,Bolivia,0
614,67.76,31,66176.97,242.59,Anthonyfurt,0,Cameroon,0
615,40.01,53,51463.17,161.77,East Brettton,0,Ecuador,1
616,52.7,41,41059.64,109.34,New Matthew,1,Zambia,1
617,68.41,38,61428.18,259.76,Christopherchester,0,Guinea-Bissau,0
618,35.55,39,51593.46,151.18,Westshire,0,Micronesia,1
619,74.54,24,57518.73,219.75,Alexisland,0,Bahamas,0
620,81.75,24,52656.13,190.08,Kevinchester,1,Cape Verde,0
621,87.85,31,52178.98,210.27,New Patriciashire,1,French Polynesia,0
622,60.23,60,46239.14,151.54,Port Brenda,1,Saudi Arabia,1
623,87.97,35,48918.55,149.25,Port Brianfort,1,France,0
624,78.17,27,65227.79,192.27,Portermouth,1,Burundi,0
625,67.91,23,55002.05,146.8,Hubbardmouth,1,Latvia,1
626,85.77,27,52261.73,191.78,South Brian,1,Morocco,0
627,41.16,49,59448.44,150.83,Hendrixmouth,1,Venezuela,1
628,53.54,39,47314.45,108.03,Julietown,0,Palau,1
629,73.94,26,55411.06,236.15,Lukeport,1,Isle of Man,0
630,63.43,29,66504.16,236.75,New Shane,1,Peru,0
631,84.59,36,47169.14,241.8,Lake Jillville,1,Belgium,0
632,70.13,31,70889.68,224.98,Johnsonfort,0,Croatia,0
633,40.19,37,55358.88,136.99,Adamsbury,0,France,1
634,58.95,55,56242.7,131.29,East Maureen,1,Slovenia,1
635,35.76,51,45522.44,195.07,North Angelastad,0,Peru,1
636,59.36,49,46931.03,110.84,Amandafort,0,Belarus,1
637,91.1,40,55499.69,198.13,Michaelmouth,1,Bolivia,0
638,61.04,41,75805.12,149.21,Ronaldport,0,Benin,1
639,74.06,23,40345.49,225.99,Port Davidland,0,Wallis and Futuna,0
640,64.63,45,15598.29,158.8,Isaacborough,1,Azerbaijan,1
641,81.29,28,33239.2,219.72,Lake Michael,0,Mongolia,0
642,76.07,36,68033.54,235.56,West Michaelshire,0,Denmark,0
643,75.92,22,38427.66,182.65,Port Calvintown,0,Russian Federation,0
644,78.35,46,53185.34,253.48,Parkerhaven,0,Brazil,0
645,46.14,28,39723.97,137.97,Markhaven,1,Ethiopia,1
646,44.33,41,43386.07,120.63,Estradashire,0,Guyana,1
647,46.43,28,53922.43,137.2,Brianland,1,Ethiopia,1
648,66.04,27,71881.84,199.76,Cassandratown,0,Mauritius,0
649,84.31,29,47139.21,225.87,West Dannyberg,0,Djibouti,0
650,83.66,38,68877.02,175.14,East Debraborough,0,Syrian Arab Republic,0
651,81.25,33,65186.58,222.35,Frankchester,1,Saint Martin,0
652,85.26,32,55424.24,224.07,Lisafort,1,Netherlands Antilles,0
653,86.53,46,46500.11,233.36,Colemanshire,0,Greece,0
654,76.44,26,58820.16,224.2,Troyville,1,Madagascar,0
655,52.84,43,28495.21,122.31,Hobbsbury,0,Senegal,1
656,85.24,31,61840.26,182.84,Harrisonmouth,1,Burkina Faso,0
657,74.71,46,37908.29,258.06,Port Eugeneport,1,Czech Republic,0
658,82.95,39,69805.7,201.29,Karenmouth,0,Lao People's Democratic Republic,0
659,76.42,26,60315.19,223.16,Brendaburgh,1,Netherlands Antilles,0
660,42.04,49,67323,182.11,New Christinatown,0,Qatar,1
661,46.28,26,50055.33,228.78,Jacksonstad,1,Andorra,1
662,48.26,50,43573.66,122.45,South Margaret,1,Liechtenstein,1
663,71.03,55,28186.65,150.77,Port Georgebury,0,China,1
664,81.37,33,66412.04,215.04,New Jessicaport,0,Vietnam,0
665,58.05,32,15879.1,195.54,Sanderstown,1,Tajikistan,1
666,75,29,63965.16,230.36,Perezland,1,Eritrea,0
667,79.61,31,58342.63,235.97,Luisfurt,0,Monaco,0
668,52.56,31,33147.19,250.36,New Karenberg,1,Israel,1
669,62.18,33,65899.68,126.44,West Leahton,0,Hungary,1
670,77.89,26,64188.5,201.54,West Sharon,0,Singapore,0
671,66.08,61,58966.22,184.23,Klineside,1,Cuba,1
672,89.21,33,44078.24,210.53,Lake Cynthia,0,Reunion,0
673,49.96,55,60968.62,151.94,South Cynthiashire,1,Zambia,1
674,77.44,28,65620.25,210.39,Lake Jacob,0,Gabon,0
675,82.58,38,65496.78,225.23,West Samantha,1,Dominica,0
676,39.36,29,52462.04,161.79,Jeremybury,1,Bahamas,1
677,47.23,38,70582.55,149.8,Blevinstown,1,Tokelau,1
678,87.85,34,51816.27,153.01,Meyerchester,0,Turkmenistan,0
679,65.57,46,23410.75,130.86,Reginamouth,0,Belgium,1
680,78.01,26,62729.4,200.71,Donaldshire,1,French Guiana,0
681,44.15,28,48867.67,141.96,Salazarbury,1,Martinique,1
682,43.57,36,50971.73,125.2,Lake Joshuafurt,1,French Polynesia,1
683,76.83,28,67990.84,192.81,Wintersfort,0,Ecuador,0
684,42.06,34,43241.19,131.55,Jamesmouth,0,Puerto Rico,1
685,76.27,27,60082.66,226.69,Laurieside,1,United Arab Emirates,0
686,74.27,37,65180.97,247.05,Andrewmouth,1,Burkina Faso,0
687,73.27,28,67301.39,216.24,West Angela,1,Luxembourg,0
688,74.58,36,70701.31,230.52,East Carlos,0,Jamaica,0
689,77.5,28,60997.84,225.34,Kennedyfurt,1,Antarctica (the territory South of 60 deg S),0
690,87.16,33,60805.93,197.15,Blairville,0,China,0
691,87.16,37,50711.68,231.95,East Donnatown,1,Western Sahara,0
692,66.26,47,14548.06,179.04,Matthewtown,1,Lebanon,1
693,65.15,29,41335.84,117.3,Brandonbury,0,Hong Kong,1
694,68.25,33,76480.16,198.86,New Jamestown,1,Vanuatu,0
695,73.49,38,67132.46,244.23,Mosleyburgh,0,Vanuatu,0
696,39.19,54,52581.16,173.05,Leahside,0,Guatemala,1
697,80.15,25,55195.61,214.49,West Wendyland,0,Greenland,0
698,86.76,28,48679.54,189.91,Lawrenceborough,0,Syrian Arab Republic,0
699,73.88,29,63109.74,233.61,Kennethview,0,Saint Helena,0
700,58.6,19,44490.09,197.93,West Mariafort,1,Lebanon,0
701,69.77,54,57667.99,132.27,Port Sherrystad,0,Malta,1
702,87.27,30,51824.01,204.27,West Melissashire,1,Christmas Island,1
703,77.65,28,66198.66,208.01,Pamelamouth,0,Ukraine,0
704,76.02,40,73174.19,219.55,Lesliefort,0,Malta,0
705,78.84,26,56593.8,217.66,Shawnside,1,Italy,0
706,71.33,23,31072.44,169.4,Josephmouth,0,Japan,1
707,81.9,41,66773.83,225.47,Garciatown,0,Mauritius,0
708,46.89,48,72553.94,176.78,Chaseshire,1,Turkey,1
709,77.8,57,43708.88,152.94,Destinyfurt,0,Namibia,1
710,45.44,43,48453.55,119.27,Mezaton,0,China,1
711,69.96,31,73413.87,214.06,New Kayla,1,Netherlands,0
712,87.35,35,58114.3,158.29,Carsonshire,1,Gibraltar,0
713,49.42,53,45465.25,128,Jacquelineshire,1,Congo,1
714,71.27,21,50147.72,216.03,South Blakestad,1,Senegal,0
715,49.19,38,61004.51,123.08,North Mark,0,Hungary,1
716,39.96,35,53898.89,138.52,Kingchester,1,Pitcairn Islands,1
717,85.01,29,59797.64,192.5,Evansfurt,0,Slovakia (Slovak Republic),0
718,68.95,51,74623.27,185.85,South Adamhaven,1,United States Virgin Islands,0
719,67.59,45,58677.69,113.69,Brittanyborough,0,Monaco,1
720,75.71,34,62109.8,246.06,Barbershire,0,Portugal,0
721,43.07,36,60583.02,137.63,East Ericport,1,Turkey,1
722,39.47,43,65576.05,163.48,Crawfordfurt,1,Uganda,1
723,48.22,40,73882.91,214.33,Turnerville,0,Norfolk Island,0
724,76.76,25,50468.36,230.77,Kylieview,1,Niue,0
725,78.74,27,51409.45,234.75,West Zacharyborough,0,Ukraine,0
726,67.47,24,60514.05,225.05,Watsonfort,1,Vanuatu,0
727,81.17,30,57195.96,231.91,Dayton,1,United States Minor Outlying Islands,0
728,89.66,34,52802.58,171.23,Nicholasport,1,Armenia,0
729,79.6,28,56570.06,227.37,Whitneyfort,1,Sweden,0
730,65.53,19,51049.47,190.17,Coffeytown,1,Timor-Leste,0
731,61.87,35,66629.61,250.2,North Johnside,1,French Southern Territories,0
732,83.16,41,70185.06,194.95,Robinsonland,0,Finland,0
733,44.11,41,43111.41,121.24,Lake David,1,Saint Vincent and the Grenadines,1
734,56.57,26,56435.6,131.98,West Ericaport,0,Senegal,1
735,83.91,29,53223.58,222.87,Haleberg,0,Burundi,0
736,79.8,28,57179.91,229.88,West Michaelport,1,Bahamas,0
737,71.23,52,41521.28,122.59,Ericksonmouth,0,Sweden,1
738,47.23,43,73538.09,210.87,Yangside,1,Svalbard & Jan Mayen Islands,1
739,82.37,30,63664.32,207.44,Estradafurt,0,Tonga,0
740,43.63,38,61757.12,135.25,Frankport,1,Korea,1
741,70.9,28,71727.51,190.95,Port Juan,0,Kyrgyz Republic,0
742,71.9,29,72203.96,193.29,Williamsside,1,Costa Rica,0
743,62.12,37,50671.6,105.86,Johnsonview,1,Liechtenstein,1
744,67.35,29,47510.42,118.69,East Heidi,0,Zimbabwe,1
745,57.99,50,62466.1,124.58,New Angelview,0,Costa Rica,1
746,66.8,29,59683.16,248.51,Lake Brandonview,0,Hungary,1
747,49.13,32,41097.17,120.49,Morganport,0,Fiji,1
748,45.11,58,39799.73,195.69,Browntown,0,Netherlands,1
749,54.35,42,76984.21,164.02,Lake Hailey,0,Sweden,0
750,61.82,59,57877.15,151.93,Olsonside,1,Barbados,1
751,77.75,31,59047.91,240.64,Coxhaven,1,Paraguay,0
752,70.61,28,72154.68,190.12,Meaganfort,0,Italy,0
753,82.72,31,65704.79,179.82,North Monicaville,0,Belarus,0
754,76.87,36,72948.76,212.59,Mullenside,0,South Georgia and the South Sandwich Islands,0
755,65.07,34,73941.91,227.53,Princebury,1,Anguilla,0
756,56.93,37,57887.64,111.8,Bradleyside,0,Sierra Leone,1
757,48.86,35,62463.7,128.37,Elizabethbury,1,Saint Martin,1
758,36.56,29,42838.29,195.89,West Ryan,0,Uganda,1
759,85.73,32,43778.88,147.75,New Tammy,1,Saudi Arabia,1
760,75.81,40,71157.05,229.19,Sanchezland,0,Greenland,0
761,72.94,31,74159.69,190.84,Rogerland,0,Venezuela,0
762,53.63,54,50333.72,126.29,Vanessaview,1,Liberia,1
763,52.35,25,33293.78,147.61,Jessicashire,1,Mali,1
764,52.84,51,38641.2,121.57,Melissachester,1,Bosnia and Herzegovina,1
765,51.58,33,49822.78,115.91,Johnsontown,0,Brunei Darussalam,1
766,42.32,29,63891.29,187.09,New Joshuaport,1,South Georgia and the South Sandwich Islands,1
767,55.04,42,43881.73,106.96,Hernandezside,1,Czech Republic,1
768,68.58,41,13996.5,171.54,New Williamville,1,El Salvador,1
769,85.54,27,48761.14,175.43,Gilbertville,1,Tokelau,0
770,71.14,30,69758.31,224.82,Newmanberg,0,France,0
771,64.38,19,52530.1,180.47,West Alice,1,Gabon,0
772,88.85,40,58363.12,213.96,Cannonbury,0,Bulgaria,0
773,66.79,60,60575.99,198.3,Shelbyport,1,Burkina Faso,1
774,32.6,45,48206.04,185.47,New Henry,0,Mayotte,1
775,43.88,54,31523.09,166.85,Dustinmouth,1,Somalia,1
776,56.46,26,66187.58,151.63,South Lisa,0,Albania,1
777,72.18,30,69438.04,225.02,Lisamouth,0,Bolivia,0
778,52.67,44,14775.5,191.26,New Hollyberg,0,Jersey,1
779,80.55,35,68016.9,219.91,Port Brittanyville,0,British Virgin Islands,0
780,67.85,41,78520.99,202.7,East Ronald,1,Saint Helena,1
781,75.55,36,31998.72,123.71,South Davidmouth,1,Bosnia and Herzegovina,1
782,80.46,29,56909.3,230.78,Carterton,0,India,0
783,82.69,29,61161.29,167.41,Rachelhaven,1,Georgia,0
784,35.21,39,52340.1,154,New Timothy,1,United States Minor Outlying Islands,1
785,36.37,40,47338.94,144.53,North Jessicaville,1,Kiribati,1
786,74.07,22,50950.24,165.43,Joneston,1,Ghana,0
787,59.96,33,77143.61,197.66,Staceyfort,0,Samoa,1
788,85.62,29,57032.36,195.68,South Dianeshire,0,Iran,0
789,40.88,33,48554.45,136.18,West Shannon,1,Costa Rica,1
790,36.98,31,39552.49,167.87,Micheletown,1,Northern Mariana Islands,1
791,35.49,47,36884.23,170.04,North Brittanyburgh,0,Liechtenstein,1
792,56.56,26,68783.45,204.47,Port Jasmine,1,Grenada,0
793,36.62,32,51119.93,162.44,New Sabrina,1,Poland,1
794,49.35,49,44304.13,119.86,Lake Charlottestad,0,Kenya,1
795,75.64,29,69718.19,204.82,West Rhondamouth,1,Iran,0
796,79.22,27,63429.18,198.79,North Debra,1,Belgium,0
797,77.05,34,65756.36,236.08,Villanuevastad,0,Namibia,0
798,66.83,46,77871.75,196.17,North Jeremyport,1,Cyprus,0
799,76.2,24,47258.59,228.81,Lake Susan,1,Japan,0
800,56.64,29,55984.89,123.24,Lake John,1,Zimbabwe,1
801,53.33,34,44275.13,111.63,Courtneyfort,1,Andorra,1
802,50.63,50,25767.16,142.23,Tammymouth,0,Luxembourg,1
803,41.84,49,37605.11,139.32,Lake Vanessa,0,Cyprus,1
804,53.92,41,25739.09,125.46,Lake Amanda,1,Turkey,1
805,83.89,28,60188.38,180.88,Mariemouth,1,Hong Kong,0
806,55.32,43,67682.32,127.65,Port Douglasborough,0,Netherlands,1
807,53.22,44,44307.18,108.85,Port Aprilville,0,United States Virgin Islands,1
